                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6007,                 1.6158,                 5.1512,                0.97559,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.30077,                0.79544,                 5.0215,                0.91212,                      0,                      0,                      0
                      2,                0.85551,                 1.9749,                 5.2217,                 1.0935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.30016,                0.78962,                  5.023,                0.91159,             1.5703e-06,             1.5703e-06,             1.5703e-06
                      3,                  1.071,                 1.6685,                 5.3321,                 1.0856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29812,                0.78409,                 5.0213,                0.91092,             3.1013e-06,             3.1013e-06,             3.1013e-06
                      4,                 0.6788,                 1.5712,                 5.0869,                0.87911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29612,                0.77511,                 5.0211,                0.90992,             4.5929e-06,             4.5929e-06,             4.5929e-06
                      5,                0.78802,                 1.7192,                 5.2367,                 1.0306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29132,                  0.764,                 5.0195,                0.90885,             6.0452e-06,             6.0452e-06,             6.0452e-06
                      6,                0.82532,                 1.7248,                 5.0805,                0.93003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29279,                0.75796,                 4.9969,                0.91067,             7.4581e-06,             7.4581e-06,             7.4581e-06
                      7,                0.55581,                 1.5698,                 4.8811,                0.98948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.28166,                0.74665,                  4.994,                0.90783,             8.8317e-06,             8.8317e-06,             8.8317e-06
                      8,                0.73013,                 2.1109,                 5.3327,                 1.0032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.27381,                0.73313,                 4.9936,                0.90687,             1.0166e-05,             1.0166e-05,             1.0166e-05
                      9,                 0.8754,                 1.4567,                 5.1461,                 1.0252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.26569,                0.71304,                 4.9962,                0.90516,             1.1461e-05,             1.1461e-05,             1.1461e-05
                     10,                0.91493,                 1.3975,                 5.1771,                 0.9712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.25961,                0.69783,                 4.9962,                 0.9043,             1.2716e-05,             1.2716e-05,             1.2716e-05
                     11,                0.85161,                  1.548,                 5.1492,                 1.0625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.25377,                0.67855,                 4.9986,                0.90376,             1.3932e-05,             1.3932e-05,             1.3932e-05
                     12,                0.61359,                 1.6869,                 5.0643,                0.89125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.24328,                0.65988,                 4.9999,                0.90183,             1.5109e-05,             1.5109e-05,             1.5109e-05
                     13,                0.54629,                 1.0704,                 5.0705,                0.93069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.24604,                  0.652,                 5.0008,                0.90129,             1.6247e-05,             1.6247e-05,             1.6247e-05
