                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6007,                 1.6158,                 5.1512,                0.97559,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.30077,                0.79544,                 5.0215,                0.91212,                      0,                      0,                      0
                      2,                0.85551,                 1.9749,                 5.2217,                 1.0935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.30015,                0.78961,                  5.023,                0.91159,             1.5821e-06,             1.5821e-06,             1.5821e-06
                      3,                  1.071,                 1.6684,                 5.3321,                 1.0856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29806,                  0.784,                 5.0212,                0.91091,             3.1485e-06,             3.1485e-06,             3.1485e-06
                      4,                0.67856,                 1.5708,                 5.0868,                  0.879,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29599,                0.77478,                  5.021,                0.90989,             4.6992e-06,             4.6992e-06,             4.6992e-06
                      5,                0.78788,                 1.7184,                 5.2367,                 1.0306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29116,                0.76329,                 5.0195,                 0.9088,             6.2341e-06,             6.2341e-06,             6.2341e-06
                      6,                0.82481,                 1.7235,                 5.0804,                0.92986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.29209,                 0.7594,                 4.9971,                0.90939,             7.7532e-06,             7.7532e-06,             7.7532e-06
                      7,                0.55604,                 1.5675,                 4.8802,                0.98986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.2809,                0.74456,                 4.9939,                0.90772,             9.2567e-06,             9.2567e-06,             9.2567e-06
                      8,                0.72879,                 2.1046,                 5.3322,                  1.003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.27275,                0.73018,                 4.9937,                0.90673,             1.0744e-05,             1.0744e-05,             1.0744e-05
                      9,                0.87171,                 1.4519,                 5.1451,                 1.0241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.26553,                0.71133,                 4.9951,                0.90533,             1.2216e-05,             1.2216e-05,             1.2216e-05
                     10,                0.90575,                 1.3891,                 5.1745,                 0.9691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.25844,                0.69338,                 4.9961,                0.90411,             1.3672e-05,             1.3672e-05,             1.3672e-05
                     11,                0.84551,                 1.5367,                 5.1477,                 1.0605,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.25167,                0.67369,                  4.998,                0.90314,             1.5113e-05,             1.5113e-05,             1.5113e-05
                     12,                 0.6142,                 1.6759,                 5.0515,                0.87914,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.24134,                0.65544,                 4.9994,                0.90149,             1.6538e-05,             1.6538e-05,             1.6538e-05
                     13,                0.53765,                 1.0465,                 5.0664,                0.92832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.24625,                0.64821,                 5.0008,                0.90106,             1.7947e-05,             1.7947e-05,             1.7947e-05
                     14,                0.51889,                 1.0571,                 4.6769,                0.78215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.25725,                0.64079,                 4.9989,                0.90154,              1.934e-05,              1.934e-05,              1.934e-05
                     15,                 0.8731,                 2.0965,                 5.0945,                0.86139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.27214,                0.64154,                 4.9979,                0.90339,             2.0717e-05,             2.0717e-05,             2.0717e-05
